Dataset,Task,Language,Language Tier,Language Code,Language Class,Language Script,DV003 Monolingual,DV003 TranslateTest,DV003 Zero-Shot Cross Lingual,GPT-3.5-Turbo Monolingual,GPT-3.5-Turbo Translate-Test,GPT-3.5-Turbo Zero-Shot Cross Lingual,GPT-4 Monolingual,GPT-4 Translate-Test,GPT-4 Zero-Shot Cross Lingual,TULRv6,BLOOMZ,XLM-R,mBERT,MuRIL,XGLM,mT5,PaLM2 Zero-Shot,PaLM2 Monolingual,Llama2-7B Monolingual,Llama2-13B Monolingual,Llama2-70B Monolingual,LLaVa-1.5-13B Monolingual,LLaVa-1.5-13B Translate-Test,Bing Translator,Google Translator,Systran,Metrics,Direction
PAN-X,Name Entity Recognition,Hungarian,2,hu,4,Latin,NA,NA,NA,0.537321477,NA,NA,0.719442685,NA,NA,NA,NA,0.801887,0.760985,NA,NA,NA,NA,0.2476,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Indonesian,3,id,3,Latin,NA,NA,NA,0.584184639,NA,NA,0.72734563,NA,NA,NA,NA,0.517577,0.610086,NA,NA,NA,NA,0.432,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Italian,1,it,4,Latin,NA,NA,NA,0.600127959,NA,NA,0.728386658,NA,NA,NA,NA,0.802862,0.812885,NA,NA,NA,NA,0.5388,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Japanese,1,ja,5,Ideograms,NA,NA,NA,0.073626965,NA,NA,0.092313513,NA,NA,NA,NA,0.185479,0.291504,NA,NA,NA,NA,0.0867,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Javanese,1,jv,1,Brahmic,NA,NA,NA,0.576779026,NA,NA,0.688259109,NA,NA,NA,NA,0.619048,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Georgian,,ka,3,Georgian,NA,NA,NA,0.250772627,NA,NA,0.315716594,NA,NA,NA,NA,0.709395,0.650543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Kazakh,,kk,3,Cyrillic,NA,NA,NA,0.309313586,NA,NA,0.453240202,NA,NA,NA,NA,0.544323,0.502692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Korean,2,ko,4,Hangul,NA,NA,NA,0.279255945,NA,NA,0.514166418,NA,NA,NA,NA,0.591692,0.594509,NA,NA,NA,NA,0.3911,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Lithuanian,3,lt,3,Latin,NA,NA,NA,0.519026397,NA,NA,0.713196034,NA,NA,NA,NA,0.75774,0.757634,NA,NA,NA,NA,0.573,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Malayalam,,ml,1,Brahmic,NA,NA,NA,0.252441057,NA,NA,0.355910379,NA,NA,NA,NA,0.602033,0.52954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Marathi,,mr,2,Devanagari,NA,NA,NA,0.344201871,NA,NA,0.474097331,NA,NA,NA,NA,0.634001,0.570415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Malay,,ms,3,Latin,NA,NA,NA,0.5196151,NA,NA,0.64057508,NA,NA,NA,NA,0.684874,0.670897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Burmese,,my,1,Brahmic,NA,NA,NA,0.086792453,NA,NA,0.162601626,NA,NA,NA,NA,0.551724,0.45679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Dutch,2,nl,4,Latin,NA,NA,NA,0.593572779,NA,NA,0.679146141,NA,NA,NA,NA,0.831676,0.809842,NA,NA,NA,NA,0.5186,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Punjabi,,pa,2,Gurmukhi,NA,NA,NA,0.3671875,NA,NA,0.497890295,NA,NA,NA,NA,0.493506,0.305085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Polish,2,pl,4,Latin,NA,NA,NA,0.584175084,NA,NA,0.703343465,NA,NA,NA,NA,0.792888,0.791963,NA,NA,NA,NA,0.4669,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Portuguese,,pt,4,Latin,NA,NA,NA,0.489326765,NA,NA,0.644906743,NA,NA,NA,NA,0.798603,0.804163,NA,NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Quechua,,qu,1,Latin,NA,NA,NA,0.419117647,NA,NA,0.69787234,NA,NA,NA,NA,0.584746,0.58498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Romanian,3,ro,3,Latin,NA,NA,NA,0.426639621,NA,NA,0.596330275,NA,NA,NA,NA,0.787018,0.740358,NA,NA,NA,NA,0.3853,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Russian,2,ru,4,Cyrillic,NA,NA,NA,0.293515358,NA,NA,0.647810926,NA,NA,NA,NA,0.719263,0.639248,NA,NA,NA,NA,0.3304,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Swahili,,sw,2,Latin,NA,NA,NA,0.577191621,NA,NA,0.688816856,NA,NA,NA,NA,0.688551,0.713611,NA,NA,NA,NA,0.5401,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Tamil,,ta,3,Brahmic,NA,NA,NA,0.259869281,NA,NA,0.369274538,NA,NA,NA,NA,0.583846,0.506757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Telugu,,te,1,Brahmic,NA,NA,NA,0.21985976,NA,NA,0.32991239,NA,NA,NA,NA,0.537669,0.488561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Thai,2,th,3,Brahmic,NA,NA,NA,0.016675661,NA,NA,0.024621741,NA,NA,NA,NA,0.007176,0.003787,NA,NA,NA,NA,0.0138,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Tagalog,,tl,3,Brahmic,NA,NA,NA,0.364810331,NA,NA,0.618602581,NA,NA,NA,NA,0.746829,0.725754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Turkish,2,tr,4,Latin,NA,NA,NA,0.505335844,NA,NA,0.729403149,NA,NA,NA,NA,0.802622,0.733762,NA,NA,NA,NA,0.5691,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Ukrainian,3,uk,3,Cyrillic,NA,NA,NA,0.343635921,NA,NA,0.583923622,NA,NA,NA,NA,0.780072,0.696605,NA,NA,NA,NA,0.3839,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Urdu,,ur,3,Perso-Arabic,NA,NA,NA,0.356859635,NA,NA,0.696248856,NA,NA,NA,NA,0.602857,0.354104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Vietnamese,3,vi,4,Latin,NA,NA,NA,0.335168617,NA,NA,0.583641595,NA,NA,NA,NA,0.783406,0.745047,NA,NA,NA,NA,0.4056,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Yoruba,,yo,2,Latin,NA,NA,NA,0.569037657,NA,NA,0.738738739,NA,NA,NA,NA,0.370044,0.45815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Chinese,,zh,5,Chinese,NA,NA,NA,0.133394348,NA,NA,0.185028993,NA,NA,NA,NA,0.266484,0.424965,NA,NA,NA,NA,0.1193,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAWS-X,Paraphrase Identification,German,1,de,5,Latin,0.706,0.6975,0.6695,0.7055,0.7075,0.7235,0.74,NA,NA,0.9505,0.8425,0.897,0.857,NA,NA,0.894,NA,0.777,0.651,0.5225,0.6375,NA,NA,NA,NA,NA,Accuracy,HigherBetter
PAWS-X,Paraphrase Identification,English,0,en,5,Latin,0.725,0.725,0.725,0.724,0.724,0.724,0.762,NA,NA,0.9715,0.898,0.947,0.94,NA,NA,0.954,NA,0.815,0.6835,0.6325,0.532,NA,NA,NA,NA,NA,Accuracy,HigherBetter
PAWS-X,Paraphrase Identification,Spanish,1,es,5,Latin,0.727,0.701,0.69,0.7195,0.6965,0.7105,0.741,NA,NA,0.9475,0.889,0.901,0.874,NA,NA,0.896,NA,0.777,0.6695,0.577,0.64975,NA,NA,NA,NA,NA,Accuracy,HigherBetter
PAWS-X,Paraphrase Identification,French,1,fr,5,Latin,0.7065,0.713,0.68,0.721,0.7005,0.7145,0.7255,NA,NA,0.9555,0.8745,0.904,0.87,NA,NA,0.912,NA,0.785,0.6695,0.54,0.6555,NA,NA,NA,NA,NA,Accuracy,HigherBetter
PAWS-X,Paraphrase Identification,Japanese,1,ja,5,Ideograms,0.6055,0.6535,0.5455,0.672,0.619,0.66,0.7145,NA,NA,0.894,0.744,0.787,0.73,NA,NA,0.798,NA,0.7315,0.56,0,0.465,NA,NA,NA,NA,NA,Accuracy,HigherBetter
PAWS-X,Paraphrase Identification,Korean,2,ko,4,Hangul,0.618,0.6575,0.553,0.6645,0.6245,0.6445,0.699,NA,NA,0.904,0.8575,0.79,0.696,NA,NA,0.785,NA,0.7115,0.538,0,0.2765,NA,NA,NA,NA,NA,Accuracy,HigherBetter
PAWS-X,Paraphrase Identification,Chinese,,zh,5,Chinese,0.608,0.6515,0.5905,0.6915,0.631,0.6745,0.7255,NA,NA,0.904,0.652,0.823,0.77,NA,NA,0.811,NA,0.7635,0.605,0.06,0.5395,NA,NA,NA,NA,NA,Accuracy,HigherBetter
TyDiQA-GoldP,Question Answering,Arabic,2,ar,5,Arabic,0.562014318,NA,0.507838041,0.5085079,NA,NA,0.6082209,NA,NA,0.841082735,0.818553,0.676,0.622,NA,NA,0.671,NA,0.762556241,0.0018,0.0018,0.0018,NA,NA,NA,NA,NA,F1 Score,HigherBetter
TyDiQA-GoldP,Question Answering,Bengali,,bn,3,Brahmic,0.161441214,NA,0.750948167,0.6069743,NA,NA,0.6796671,NA,NA,0.869321534,0.877655,0.64,0.493,NA,NA,0.407,NA,0.771511232,0,0,0,NA,NA,NA,NA,NA,F1 Score,HigherBetter
TyDiQA-GoldP,Question Answering,English,0,en,5,Latin,0.737305218,NA,0.737305218,0.5478188,NA,NA,0.7287,NA,NA,0.853540969,0.824489,0.715,0.753,NA,NA,0.718,NA,0.76151232,0.2096,0.2763,0.2867,NA,NA,NA,NA,NA,F1 Score,HigherBetter
TyDiQA-GoldP,Question Answering,Finnish,2,fi,4,Latin,0.702966541,NA,0.708715257,0.665581,NA,NA,0.7539155,NA,NA,0.837653166,0.436158,0.705,0.597,NA,NA,0.67,NA,0.786001915,0.1057,0.1017,0.10355,NA,NA,NA,NA,NA,F1 Score,HigherBetter
TyDiQA-GoldP,Question Answering,Indonesian,3,id,3,Latin,0.685723916,NA,0.694028008,0.6716276,NA,NA,0.8075999,NA,NA,0.887753182,0.850324,0.774,0.648,NA,NA,0.713,NA,0.816851411,0.1267,0.1039,0.113,NA,NA,NA,NA,NA,F1 Score,HigherBetter
TyDiQA-GoldP,Question Answering,Korean,2,ko,4,Hangul,0.405710458,NA,0.274780109,0.5967885,NA,NA,0.6972,NA,NA,0.784701354,0.522697,0.319,0.588,NA,NA,0.495,NA,0.726082731,0.0061,0.0075,0.0075,NA,NA,NA,NA,NA,F1 Score,HigherBetter
TyDiQA-GoldP,Question Answering,Russian,2,ru,4,Cyrillic,0.423475466,NA,0.366764761,0.4578013,NA,NA,0.6140114,NA,NA,0.819404532,0.674141,0.67,0.6,NA,NA,0.549,NA,0.701990266,0.0771,0.0625,0.0957,NA,NA,NA,NA,NA,F1 Score,HigherBetter
TyDiQA-GoldP,Question Answering,Swahili,,sw,2,Latin,0.741416071,NA,0.68902147,0.6430053,NA,NA,0.8175024,NA,NA,0.872288267,0.860214,0.661,0.575,NA,NA,0.604,NA,0.796244289,0.145,0.1458,0.155,NA,NA,NA,NA,NA,F1 Score,HigherBetter
TyDiQA-GoldP,Question Answering,Telugu,,te,1,Brahmic,0.057834484,NA,0.057855838,0.708983,NA,NA,0.724883,NA,NA,0.851714375,0.903316,0.701,0.496,NA,NA,0.406,NA,NA,0,0,0,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Afrikaans,,af,3,Latin,NA,NA,NA,0.743339024,NA,NA,0.776215098,NA,NA,NA,NA,0.892096,0.866605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Arabic,2,ar,5,Arabic,NA,NA,NA,0.383470822,NA,NA,0.419594298,NA,NA,NA,NA,0.629601,0.499898,NA,NA,NA,NA,0.5057,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Bulgarian,3,bg,3,Cyrillic,NA,NA,NA,0.791476523,NA,NA,0.830709999,NA,NA,NA,NA,0.882954,0.847393,NA,NA,NA,NA,0.8233,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,German,1,de,5,Latin,NA,NA,NA,0.806625627,NA,NA,0.862861143,NA,NA,NA,NA,0.911559,0.887178,NA,NA,NA,NA,0.7494,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Greek,3,el,3,Greek,NA,NA,NA,0.470904026,NA,NA,0.497849299,NA,NA,NA,NA,0.865108,0.809089,NA,NA,NA,NA,0.6603,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,English,0,en,5,Latin,NA,NA,NA,0.784927536,NA,NA,,NA,NA,NA,NA,0.970245,0.963857,NA,NA,NA,NA,0.7041,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Spanish,1,es,5,Latin,NA,NA,NA,0.347567031,NA,NA,0.683826941,NA,NA,NA,NA,0.892468,0.865721,NA,NA,NA,NA,0.6071,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Estonian,3,et,3,Latin,NA,NA,NA,0.759794738,NA,NA,0.80244998,NA,NA,NA,NA,0.872729,0.798705,NA,NA,NA,NA,0.7393,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Basque,,eu,4,Latin,NA,NA,NA,0.720045056,NA,NA,0.792868232,NA,NA,NA,NA,0.748651,0.620762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Persian,,fa,4,Perso-Arabic,NA,NA,NA,0.466717674,NA,NA,0.464302704,NA,NA,NA,NA,0.707765,0.655308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Finnish,2,fi,4,Latin,NA,NA,NA,0.795390925,NA,NA,0.827171783,NA,NA,NA,NA,0.827094,0.732814,NA,NA,NA,NA,0.7938,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,French,1,fr,5,Latin,NA,NA,NA,0.780360531,NA,NA,0.854032563,NA,NA,NA,NA,0.867069,0.811541,NA,NA,NA,NA,0.8488,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Hebrew,2,he,3,Hebrew,NA,NA,NA,0.538003273,NA,NA,0.603686636,NA,NA,NA,NA,0.675042,0.554672,NA,NA,NA,NA,0.7218,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Hindi,,hi,4,Devanagari,NA,NA,NA,0.506851837,NA,NA,0.5218787,NA,NA,NA,NA,0.752234,0.66046,NA,NA,NA,NA,0.7134,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Hungarian,2,hu,4,Latin,NA,NA,NA,0.654324253,NA,NA,0.683441473,NA,NA,NA,NA,0.833925,0.785615,NA,NA,NA,NA,0.6834,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Indonesian,3,id,3,Latin,NA,NA,NA,0.636416846,NA,NA,0.685734955,NA,NA,NA,NA,0.756938,0.74197,NA,NA,NA,NA,0.6416,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Italian,1,it,4,Latin,NA,NA,NA,0.753641955,NA,NA,0.841413842,NA,NA,NA,NA,0.892392,0.877673,NA,NA,NA,NA,0.7511,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Japanese,1,ja,5,Ideograms,NA,NA,NA,0.474006623,NA,NA,0.601731602,NA,NA,NA,NA,0.2932,0.471863,NA,NA,NA,NA,0.6305,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Kazakh,,kk,3,Cyrillic,NA,NA,NA,0.647750697,NA,NA,,NA,NA,NA,NA,0.783274,0.703706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Korean,2,ko,4,Hangul,NA,NA,NA,0.390205619,NA,NA,0.511770196,NA,NA,NA,NA,0.570654,0.516502,NA,NA,NA,NA,0.471,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Lithuanian,3,lt,3,Latin,NA,NA,NA,0.713099283,NA,NA,0.737487617,NA,NA,NA,NA,0.841635,0.787793,NA,NA,NA,NA,0.7362,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Marathi,,mr,2,Devanagari,NA,NA,NA,0.579494799,NA,NA,0.790909091,NA,NA,NA,NA,0.818182,0.686614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Dutch,2,nl,4,Latin,NA,NA,NA,0.782752343,NA,NA,0.817932296,NA,NA,NA,NA,0.895388,0.886374,NA,NA,NA,NA,0.7286,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Polish,2,pl,4,Latin,NA,NA,NA,0.817120088,NA,NA,0.80740384,NA,NA,NA,NA,0.868332,0.807035,NA,NA,NA,NA,0.8158,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Portuguese,,pt,4,Latin,NA,NA,NA,0.766502085,NA,NA,0.81032666,NA,NA,NA,NA,0.902124,0.879888,NA,NA,NA,NA,0.75231,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Romanian,3,ro,3,Latin,NA,NA,NA,0.666578017,NA,NA,0.66322941,NA,NA,NA,NA,0.825659,0.714723,NA,NA,NA,NA,0.6771,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Russian,2,ru,4,Cyrillic,NA,NA,NA,0.698717949,NA,NA,0.74657593,NA,NA,NA,NA,0.872768,0.82426,NA,NA,NA,NA,0.7359,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Tamil,,ta,3,Brahmic,NA,NA,NA,0.326278085,NA,NA,0.346640701,NA,NA,NA,NA,0.640295,0.585399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Telugu,,te,1,Brahmic,NA,NA,NA,0.798479087,NA,NA,0.846212701,NA,NA,NA,NA,0.842105,0.751751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Thai,2,th,3,Brahmic,NA,NA,NA,0.255046198,NA,NA,0.311791765,NA,NA,NA,NA,0.485221,0.413367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Tagalog,,tl,3,Brahmic,NA,NA,NA,0.54290718,NA,NA,0.583509514,NA,NA,NA,NA,0.924138,0.804836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Turkish,2,tr,4,Latin,NA,NA,NA,0.772489182,NA,NA,0.769903359,NA,NA,NA,NA,0.811858,0.705152,NA,NA,NA,NA,0.7652,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Ukrainian,3,uk,3,Cyrillic,NA,NA,NA,0.589037169,NA,NA,0.619490446,NA,NA,NA,NA,0.857879,0.805878,NA,NA,NA,NA,0.6393,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Urdu,,ur,3,Perso-Arabic,NA,NA,NA,0.398738612,NA,NA,0.413271109,NA,NA,NA,NA,0.707843,0.565579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Vietnamese,3,vi,4,Latin,NA,NA,NA,0.576701269,NA,NA,0.647123947,NA,NA,NA,NA,0.58451,0.553614,NA,NA,NA,NA,0.6978,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Wolof,,wo,2,Latin,NA,NA,NA,0.503702067,NA,NA,0.590755978,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Yoruba,,yo,2,Latin,NA,NA,NA,0.069695084,NA,NA,0.338143338,NA,NA,NA,NA,0.24836,0.566428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
UDPOS,Part of Speech Tagging,Chinese,,zh,5,Chinese,NA,NA,NA,0.571901095,NA,NA,0.634995912,NA,NA,NA,NA,0.441275,0.59627,NA,NA,NA,NA,0.6711,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
WinoMT,Gender Bias,Arabic,2,ar,5,Arabic,NA,NA,NA,0.611,NA,NA,NA,NA,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.458,0.456,Accuracy,HigherBetter
WinoMT,Gender Bias,German,1,de,5,Latin,NA,NA,NA,0.575,NA,NA,NA,NA,NA,NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.741,0.594,0.485,Accuracy,HigherBetter
WinoMT,Gender Bias,Spanish,1,es,5,Latin,NA,NA,NA,0.549,NA,NA,NA,NA,NA,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.509,0.425,Accuracy,HigherBetter
WinoMT,Gender Bias,French,1,fr,5,Latin,NA,NA,NA,0.527,NA,NA,NA,NA,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.616,0.434,Accuracy,HigherBetter
WinoMT,Gender Bias,Hebrew,2,he,3,Hebrew,NA,NA,NA,0.575,NA,NA,NA,NA,NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.508,0.431,Accuracy,HigherBetter
WinoMT,Gender Bias,Italian,1,it,4,Latin,NA,NA,NA,0.451,NA,NA,NA,NA,NA,NA,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388,0.386,0.381,Accuracy,HigherBetter
WinoMT,Gender Bias,Russian,2,ru,4,Cyrillic,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369,0.378,0.373,Accuracy,HigherBetter
WinoMT,Gender Bias,Ukrainian,3,uk,3,Cyrillic,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413,0.384,0.289,Accuracy,HigherBetter
XCOPA,Commonsense Reasoning,English,0,en,5,Latin,0.982,0.982,0.982,0.978,0.978,0.978,0.996,0.996,NA,NA,0.88,NA,NA,NA,NA,NA,NA,0.9907,0.74,0.91,0.94,NA,NA,NA,NA,NA,Accuracy,HigherBetter
XCOPA,Commonsense Reasoning,Estonian,3,et,3,Latin,0.878,0.896,0.896,0.906,0.882,0.682,0.988,0.944,NA,0.774,0.48,NA,NA,NA,0.659,0.503,NA,0.9702,0.506,0.512,0.466,NA,NA,NA,NA,NA,Accuracy,HigherBetter
XCOPA,Commonsense Reasoning,Haitian Creole,,ht,0,Latin,0.75,0.828,0.828,0.72,0.794,0.524,0.932,0.858,NA,0.78,0.55,NA,NA,NA,0.589,0.499,NA,NA,0.512,0.494,0.436,NA,NA,NA,NA,NA,Accuracy,HigherBetter
XCOPA,Commonsense Reasoning,Indonesian,3,id,3,Latin,0.914,0.93,0.93,0.904,0.908,0.838,0.976,0.96,NA,0.926,0.86,NA,NA,NA,0.689,0.492,NA,0.9801,0.59,0.724,0.4,NA,NA,NA,NA,NA,Accuracy,HigherBetter
XCOPA,Commonsense Reasoning,Italian,1,it,4,Latin,0.96,0.946,0.946,0.952,0.944,0.88,0.998,0.982,NA,0.96,0.74,NA,NA,NA,0.692,0.496,NA,0.9801,0.706,0.798,0.526,NA,NA,NA,NA,NA,Accuracy,HigherBetter
XCOPA,Commonsense Reasoning,Quechua,,qu,1,Latin,0.548,0.5,0.5,0.546,0.5,0.104,0.586,NA,NA,0.61,0.5,NA,NA,NA,0.471,0.505,NA,NA,0.504,0.502,0.372,NA,NA,NA,NA,NA,Accuracy,HigherBetter
